Location,Time,Service,ClassID
"24893 James Viaduct Apt. 925
Joshuashire, WA 04672",11/1/2023 14:15,Math,1
"65310 Julia Glen Apt. 793
Fisherside, MO 11500",11/2/2023 5:22,Spanish,1
"36402 Graham Orchard Suite 626
West Adrianburgh, NJ 10436",11/1/2023 2:41,English,1
"565 Jeff Way Suite 669
New Kayla, NM 73807",11/3/2023 1:06,Chemistry,1
"USS Wilson
FPO AE 34657",11/3/2023 9:25,Chemistry,1
"8634 Alvarez Roads
Adamsfort, OR 04862",11/1/2023 3:28,Math,1
"014 Jody Trail Apt. 681
Alejandrochester, CO 03393",11/1/2023 18:14,English,1
"152 Justin Parkway
Port Jody, PA 12865",11/2/2023 1:03,English,1
"4626 Perez River
Johnborough, TX 65714",11/1/2023 19:14,Biology,1
"240 Carroll Shore Suite 901
New Danielview, ID 94782",11/1/2023 8:38,Spanish,1
"86350 Chavez Stravenue
Kempton, PW 01358",11/2/2023 13:06,English,1
"022 Hannah Light Apt. 159
Sheilaborough, OR 00928",11/1/2023 15:16,Spanish,1
"USNV Mathis
FPO AP 71068",11/3/2023 3:30,English,1
"421 Armstrong Mills Suite 314
East Coreyland, CO 71455",11/3/2023 15:56,Chemistry,1
"33040 Tracy Hills
Riceborough, AZ 46325",11/1/2023 21:24,Chemistry,1
"Unit 8717 Box 7052
DPO AP 91546",11/2/2023 15:11,Biology,1
"80882 Edward Ramp
West Heather, GA 20299",11/1/2023 3:09,Biology,1
"48920 Carter Vista
Kellerborough, KY 24264",11/2/2023 3:34,English,1
"135 Roman Lodge
New Thomas, NM 44892",11/1/2023 18:22,Biology,1
"8974 Savannah Ford
Phyllisshire, SD 46553",11/2/2023 5:54,Spanish,1
"787 Frazier Rue Apt. 304
Stephanieshire, NH 71634",11/1/2023 20:39,Math,1
"27028 Mark Union
South Williammouth, GU 37332",11/2/2023 1:07,Biology,1
"1081 Tina Bypass
South Mary, OR 95963",11/3/2023 10:29,Math,1
"Unit 5386 Box 1451
DPO AP 70598",11/1/2023 4:05,Biology,1
"7047 Douglas Green Suite 925
Robertville, DC 08832",11/3/2023 1:16,Math,1
"Unit 7695 Box 3064
DPO AA 96475",11/1/2023 4:51,Chemistry,1
"06195 Miller Harbors
Henrystad, UT 80300",11/2/2023 7:22,English,1
"87123 Lawson Motorway Suite 592
Lake Michelle, MS 16503",11/1/2023 12:16,Chemistry,1
"4225 Jennifer Hollow Apt. 612
West Timothy, NC 88616",11/1/2023 5:38,Spanish,1
"7810 Taylor Plaza
Steveville, DC 99677",11/2/2023 16:11,Biology,1
"672 Logan Route
Fisherview, OR 25294",11/2/2023 22:02,Math,1
"097 Tammy Stream Suite 513
East Ashley, SD 21695",11/1/2023 0:53,Spanish,1
"856 Thomas Village
Joshuatown, NJ 72631",11/2/2023 14:17,Chemistry,1
"7673 Gonzalez Corner Suite 301
South Kenneth, NH 26048",11/2/2023 11:57,Chemistry,1
"201 Samantha Lights
East Janet, LA 91237",11/2/2023 17:08,Math,1
"2183 Martin Crest Apt. 347
Petersenton, KS 65187",11/2/2023 18:57,Spanish,1
"Unit 1779 Box 6313
DPO AP 45551",11/1/2023 17:32,English,1
"02793 Burke Rest Apt. 131
East Danielleton, MO 78765",11/3/2023 2:18,Chemistry,1
"259 Buck Gateway
Harringtonfurt, NE 97795",11/2/2023 6:40,English,1
"14262 Scott Square Apt. 784
Jessicaton, NY 62194",11/1/2023 22:47,Chemistry,1
"Unit 6091 Box 9747
DPO AP 72615",11/1/2023 0:29,Biology,1
"USNS Blair
FPO AP 68959",11/3/2023 15:49,Spanish,1
"USS Morris
FPO AE 75961",11/2/2023 3:00,Spanish,1
"PSC 7437, Box 8796
APO AA 41618",11/2/2023 11:17,Spanish,1
"PSC 7366, Box 2602
APO AE 78402",11/2/2023 7:17,Math,1
"334 Jensen Divide Suite 764
Brianmouth, NM 73505",11/2/2023 0:35,English,1
"15466 Lindsay Union
Lake Deanna, VT 40212",11/1/2023 6:25,Math,1
"800 Phillip Inlet Suite 147
Williamstad, PR 43755",11/3/2023 13:14,English,1
"4099 Cody Inlet
North Harryview, CA 54545",11/3/2023 10:18,Chemistry,1
"5204 Mcdonald Centers Apt. 982
West Logan, OK 65190",11/3/2023 6:36,Spanish,1
"66180 Henry Crest
Jennifermouth, WA 21096",11/1/2023 11:49,Math,1
"1562 Elizabeth Locks Suite 481
Tiffanyfurt, GU 54685",11/1/2023 8:35,English,1
"0154 Singh Crescent Suite 355
Port Jennifer, NV 18009",11/2/2023 14:07,Spanish,1
"PSC 2883, Box 9012
APO AE 54082",11/2/2023 18:12,Spanish,1
"78702 Mills Rest Apt. 950
Kathyville, MA 45428",11/2/2023 0:18,English,1
"996 Hunt Gateway
Lake Tommyberg, DC 02028",11/2/2023 0:11,Math,1
"PSC 8300, Box 0371
APO AP 50175",11/3/2023 18:04,Chemistry,1
"09508 Nicholas Trail Suite 319
Michaelport, MH 15032",11/3/2023 19:28,Math,1
"0796 Harvey Knolls
Port Natalieborough, AZ 77149",11/1/2023 5:00,Spanish,1
"2512 Schmidt Path
Martinezside, CT 99014",11/1/2023 11:14,English,1
"25333 Maria Track Apt. 059
Deborahchester, TX 94288",11/3/2023 1:34,English,1
"3875 Richard Brooks
North Elizabeth, CA 37031",11/2/2023 7:23,English,1
"PSC 6097, Box 6990
APO AP 26558",11/3/2023 13:30,Math,1
"085 Bradley Square
Lake Shanemouth, RI 12182",11/3/2023 6:40,Spanish,1
"022 Dennis Ridges Apt. 972
Lake Vincentmouth, NM 29787",11/2/2023 10:44,Spanish,1
"15245 Kristina Neck
Michaelburgh, SD 77661",11/3/2023 13:05,English,1
"5102 Brian Motorway
Danielfort, RI 10423",11/2/2023 10:09,Spanish,1
"19342 Benton Row Suite 326
Meganburgh, ND 65768",11/1/2023 8:37,Chemistry,1
"65849 Michael Parkways
East Karenton, OK 88926",11/2/2023 15:11,English,1
"0683 Gonzalez Station Apt. 646
Lake Kevinton, VI 77503",11/1/2023 18:32,Chemistry,1
"0519 Cook Path
East Susanberg, NM 68318",11/3/2023 3:23,Math,1
"4114 Ray Alley Suite 806
Kirbyfurt, ME 38245",11/2/2023 12:47,Chemistry,1
"80011 Burke Neck Suite 487
Whiteport, SC 71239",11/2/2023 4:00,Spanish,1
"53129 Julie Circles
Zhangshire, WY 89543",11/2/2023 11:18,Chemistry,1
"46529 James Mews Apt. 766
Nealfurt, NH 79560",11/2/2023 14:05,English,1
"71663 Walker Points Apt. 795
North Christopher, WA 71096",11/1/2023 1:31,English,1
"716 Michelle Oval
Rhodesfurt, TX 95570",11/1/2023 5:33,English,1
"25513 Long Throughway Suite 293
South Louisside, UT 31032",11/3/2023 11:26,English,1
"369 Claire Shoal
North Jessica, DC 40830",11/1/2023 4:58,Biology,1
"05993 Wilson Pass
Luisburgh, PA 03161",11/1/2023 19:30,Biology,1
"7597 Emily Manor
Deanmouth, KS 92517",11/2/2023 3:41,Chemistry,1
"27638 Higgins Manors
Farleyfort, MO 76574",11/1/2023 14:57,Biology,1
"19178 King Burg
Joelside, OK 59436",11/1/2023 7:37,Spanish,1
"593 Christian Island Apt. 290
New Heather, OH 74449",11/3/2023 9:06,English,1
"65779 Elizabeth Creek Suite 057
Port Kristopherburgh, MP 15570",11/3/2023 6:51,Chemistry,1
"14044 Hernandez Mountain Suite 057
Salasfurt, AZ 51269",11/2/2023 7:15,Spanish,1
"0580 Thomas Motorway Apt. 686
Jesusburgh, AS 73306",11/2/2023 1:24,Biology,1
"01442 Kathy Green
Tammyside, NE 35974",11/2/2023 14:35,Spanish,1
"9845 Brent Port
West Brianshire, PW 29518",11/2/2023 8:34,Chemistry,1
"829 Gallegos Brook
New Mark, MP 55996",11/2/2023 15:43,Math,1
"9236 Mcdonald Burg
Port Daniel, FM 48833",11/3/2023 14:31,English,1
"7021 Robinson Well
East Amandastad, MT 40440",11/2/2023 20:41,Spanish,1
"6751 Jacqueline Roads Apt. 935
East Kara, IN 12784",11/2/2023 10:39,Biology,1
"790 Lauren Inlet
Howardborough, WV 09077",11/1/2023 19:15,English,1
"83092 Christopher Stream
Murphyview, DE 39509",11/1/2023 13:21,English,1
"86749 Matthew Meadow Suite 927
Alexanderborough, IN 99257",11/2/2023 7:53,Chemistry,1
"976 Kendra Shoal
Watersland, VT 69230",11/1/2023 22:04,English,1
"PSC 5029, Box 5597
APO AP 49721",11/3/2023 13:40,Math,1
"Unit 4355 Box 5307
DPO AP 73233",11/1/2023 19:59,Chemistry,1
"540 Petersen Brooks
New Chad, MI 76202",11/1/2023 18:01,Chemistry,1
"PSC 8243, Box 2706
APO AA 46533",11/3/2023 14:44,Chemistry,1
"0202 Anderson Orchard
Lake Laura, NM 83529",11/3/2023 8:14,Biology,1
"4482 Patterson Plaza Suite 324
Port Erica, NE 39814",11/1/2023 21:25,Math,1
"355 Todd Loop Apt. 036
Port Michael, VI 97025",11/2/2023 7:02,Biology,1
"85376 Davis Union
Wallacemouth, MH 78944",11/3/2023 9:00,English,1
"326 Luis Hill
Edwardstad, VI 45520",11/1/2023 1:08,Chemistry,1
"310 Jenny Course Suite 621
New Charles, KS 87088",11/2/2023 10:25,Spanish,1
"Unit 3677 Box 8574
DPO AA 00609",11/3/2023 7:16,Math,1
"39251 Russell Forges
New Gregory, MS 48342",11/1/2023 9:17,Chemistry,1
"908 Brianna Mountains Apt. 038
Obrienmouth, OH 70478",11/1/2023 15:39,English,1
"63472 Steele Walks Apt. 782
Port Jessicahaven, MT 02391",11/1/2023 8:03,Spanish,1
"46743 Mitchell Corners Apt. 434
West Austin, TX 81870",11/3/2023 13:43,Biology,1
"3710 Christopher Light
Lake Aaron, VI 77846",11/1/2023 11:14,Math,1
"769 Theresa Common Suite 824
Judithtown, NJ 80549",11/3/2023 7:17,English,1
"8167 Kimberly Spur Suite 555
Jeffreyhaven, WY 55408",11/2/2023 13:10,Chemistry,1
"52736 Austin Wells Apt. 634
Beardshire, RI 33404",11/1/2023 11:01,Math,1
"USNV Marshall
FPO AE 07979",11/2/2023 7:07,English,1
"671 Julia Light
Thomasstad, GA 61550",11/3/2023 15:11,Spanish,1
"49090 Cabrera Cove Suite 013
East Jennifer, NH 77889",11/3/2023 9:15,Biology,1
"0768 Travis Garden Apt. 497
Kristinatown, MP 07992",11/2/2023 0:40,English,1
"57739 Burton Crest Apt. 833
West Sean, RI 55502",11/3/2023 19:25,Chemistry,1
"1791 Amanda Views
West Dale, MT 30332",11/3/2023 0:48,Biology,1
"8299 Stevens Pike
Morganmouth, NH 75965",11/1/2023 8:58,English,1
"8123 Amy Villages
West Karen, OH 57094",11/1/2023 2:38,Math,1
"PSC 5934, Box 3546
APO AA 93133",11/2/2023 19:51,English,1
"48939 Heather Orchard Suite 119
New Patriciamouth, HI 84395",11/1/2023 23:53,Biology,1
"412 Ferguson Isle
West Jasonburgh, CO 93728",11/3/2023 17:13,English,1
"715 James Extension Apt. 690
North Krystalmouth, FL 28495",11/2/2023 22:04,Spanish,1
"703 Gonzalez Run
East Nicolehaven, OK 42528",11/2/2023 6:15,Spanish,1
"65707 King Well Suite 459
Thomashaven, CT 97887",11/1/2023 16:27,Spanish,1
"0920 Mcdonald Points Suite 023
West Jenniferview, NC 98110",11/1/2023 18:12,Math,1
"1246 Victor Knoll
South Keith, AK 13652",11/2/2023 15:02,Spanish,1
"4779 Benjamin Pass
Murraychester, UT 66712",11/1/2023 5:22,Chemistry,1
"7141 Moore Unions
Tammiestad, FL 18757",11/3/2023 17:25,English,1
"405 Todd Station Suite 167
Shawnchester, RI 81524",11/1/2023 21:42,Chemistry,1
"6605 Moore Coves Suite 698
Jennifertown, AK 72314",11/2/2023 20:20,Math,1
"584 Wilson Vista Apt. 608
West Michaelchester, WA 34992",11/1/2023 12:10,Biology,1
"463 David Mission Suite 894
West Joshuachester, TX 44807",11/3/2023 5:25,Math,1
"792 Schmidt Coves
East Joshua, ME 12829",11/1/2023 11:40,English,1
"687 Sandra Creek
New Andrewmouth, LA 63367",11/2/2023 17:29,Biology,1
"866 Tran Hills Suite 437
North Adam, MD 28505",11/3/2023 11:58,Chemistry,1
"21704 Burns Road
Port Shelby, FM 63342",11/3/2023 19:44,Biology,1
"208 Giles Prairie Apt. 892
North Michaelbury, KS 26109",11/1/2023 23:39,Math,1
"2883 Wade Shore
Kathleenport, CA 10778",11/1/2023 2:13,English,1
"193 Peterson Villages Apt. 531
Luistown, UT 63305",11/3/2023 0:04,Math,1
"0746 Diaz Branch
Port Dennisside, NY 10868",11/3/2023 0:28,Math,1
"6144 Welch Greens Apt. 634
Ashleyport, ME 87898",11/1/2023 13:22,Spanish,1
"USNS Phillips
FPO AE 93137",11/3/2023 2:51,English,1
"529 Samuel Heights Suite 101
West Adam, MA 98471",11/1/2023 8:50,Math,1
"13153 Keith Mountains Suite 082
Lake David, TX 34752",11/3/2023 19:11,Biology,1
"9113 Kenneth Shore Suite 083
Lindaborough, OR 62817",11/2/2023 10:59,English,1
"00055 Thomas Crescent Apt. 296
New Erika, CO 13639",11/1/2023 17:42,Biology,1
"31956 Villa Radial
Latoyaville, NE 18294",11/2/2023 14:01,Chemistry,1
