TuitionID,Tuition,PaymentStart,PaymentEnd
71,19,2023-09-09,2023-11-01
72,18,2023-02-06,2023-11-05
73,26,2023-10-17,2023-11-02
74,33,2023-06-02,2023-11-03
75,11,2023-09-19,2023-11-04
76,43,2023-09-08,2023-11-02
77,49,2023-02-13,2023-11-05
78,24,2023-02-17,2023-11-01
79,24,2023-03-09,2023-11-04
80,21,2023-10-10,2023-11-03
81,18,2023-07-14,2023-11-05
82,19,2023-08-20,2023-11-05
83,48,2023-05-13,2023-11-05
84,38,2023-01-26,2023-11-02
85,14,2023-07-17,2023-11-01
86,17,2023-07-18,2023-11-02
87,38,2023-10-26,2023-11-01
88,37,2023-04-03,2023-11-02
89,39,2023-05-25,2023-11-02
90,19,2023-02-13,2023-11-05
91,34,2023-01-24,2023-11-04
92,42,2023-07-02,2023-11-02
93,49,2023-05-11,2023-11-02
94,50,2023-02-07,2023-11-03
95,13,2023-07-23,2023-11-01
96,22,2023-05-15,2023-11-01
97,48,2023-05-23,2023-11-04
98,43,2023-02-07,2023-11-01
99,14,2023-02-27,2023-11-03
100,13,2023-04-26,2023-11-02
101,28,2023-02-19,2023-11-04
102,12,2023-10-14,2023-11-02
103,38,2023-08-14,2023-11-04
104,16,2023-10-30,2023-11-05
105,23,2023-06-12,2023-11-05
106,49,2023-04-04,2023-11-05
107,31,2023-01-15,2023-11-04
108,14,2023-06-27,2023-11-02
109,21,2023-01-10,2023-11-01
110,33,2023-07-01,2023-11-02
111,26,2023-08-24,2023-11-01
112,28,2023-04-16,2023-11-01
113,28,2023-04-17,2023-11-02
114,36,2023-05-09,2023-11-01
115,38,2023-03-19,2023-11-05
116,15,2023-02-24,2023-11-05
117,40,2023-06-13,2023-11-05
118,45,2023-09-29,2023-11-01
119,38,2023-04-01,2023-11-02
120,20,2023-10-09,2023-11-01
121,49,2023-02-17,2023-11-01
122,35,2023-02-21,2023-11-01
123,48,2023-10-23,2023-11-01
124,48,2023-06-13,2023-11-03
125,44,2023-08-25,2023-11-03
126,40,2023-07-24,2023-11-02
127,46,2023-06-03,2023-11-03
128,40,2023-07-28,2023-11-02
129,45,2023-04-09,2023-11-01
130,20,2023-01-03,2023-11-04
131,31,2023-07-21,2023-11-05
132,19,2023-05-01,2023-11-05
133,44,2023-08-21,2023-11-02
134,14,2023-03-24,2023-11-04
135,14,2023-06-11,2023-11-01
136,29,2023-05-19,2023-11-04
137,32,2023-05-08,2023-11-05
138,36,2023-10-03,2023-11-02
139,24,2023-02-18,2023-11-05
140,40,2023-10-26,2023-11-02
141,47,2023-05-01,2023-11-03
142,35,2023-10-18,2023-11-05
143,35,2023-03-13,2023-11-03
144,40,2023-08-21,2023-11-01
145,33,2023-10-06,2023-11-02
146,24,2023-01-20,2023-11-01
147,29,2023-10-29,2023-11-03
148,49,2023-08-17,2023-11-01
149,41,2023-09-29,2023-11-05
150,17,2023-03-31,2023-11-05
151,35,2023-04-28,2023-11-01
152,49,2023-05-05,2023-11-05
153,34,2023-03-26,2023-11-01
154,21,2023-10-05,2023-11-05
155,23,2023-08-17,2023-11-01
156,43,2023-01-15,2023-11-03
157,10,2023-01-21,2023-11-05
158,36,2023-01-21,2023-11-02
159,31,2023-02-10,2023-11-02
160,27,2023-04-21,2023-11-05
161,22,2023-11-03,2023-11-03
162,28,2023-04-25,2023-11-03
163,18,2023-09-29,2023-11-02
164,50,2023-02-25,2023-11-01
165,22,2023-10-22,2023-11-05
166,21,2023-01-13,2023-11-01
167,32,2023-08-10,2023-11-03
168,27,2023-09-09,2023-11-05
169,26,2023-07-29,2023-11-01
170,30,2023-07-24,2023-11-05
171,25,2023-02-16,2023-11-04
172,49,2023-10-15,2023-11-03
173,41,2023-10-29,2023-11-02
174,29,2023-05-31,2023-11-05
175,43,2023-03-12,2023-11-02
176,17,2023-02-17,2023-11-01
177,28,2023-08-03,2023-11-01
178,32,2023-11-03,2023-11-05
179,17,2023-10-31,2023-11-01
180,42,2023-10-08,2023-11-05
181,11,2023-07-24,2023-11-02
182,47,2023-03-09,2023-11-01
183,31,2023-06-29,2023-11-01
184,12,2023-05-25,2023-11-01
185,27,2023-03-26,2023-11-03
186,11,2023-09-14,2023-11-02
187,18,2023-02-20,2023-11-05
188,11,2023-06-08,2023-11-04
189,12,2023-08-20,2023-11-01
190,46,2023-01-01,2023-11-02
191,10,2023-05-21,2023-11-02
192,20,2023-06-24,2023-11-04
193,29,2023-10-29,2023-11-03
194,30,2023-07-24,2023-11-04
195,35,2023-04-06,2023-11-03
196,50,2023-06-24,2023-11-04
197,45,2023-03-22,2023-11-04
198,15,2023-01-26,2023-11-05
199,43,2023-05-07,2023-11-03
200,28,2023-08-21,2023-11-02
201,25,2023-03-09,2023-11-01
202,40,2023-07-22,2023-11-04
203,48,2023-06-06,2023-11-04
204,48,2023-06-02,2023-11-04
205,40,2023-10-11,2023-11-03
206,39,2023-10-11,2023-11-05
207,23,2023-05-01,2023-11-01
208,43,2023-10-14,2023-11-02
209,11,2023-06-25,2023-11-03
210,30,2023-07-18,2023-11-03
211,50,2023-08-02,2023-11-01
212,46,2023-03-16,2023-11-04
213,11,2023-10-05,2023-11-03
214,14,2023-01-29,2023-11-01
215,19,2023-07-02,2023-11-05
216,35,2023-05-22,2023-11-04
217,10,2023-06-30,2023-11-03
218,35,2023-08-20,2023-11-02
219,25,2023-07-31,2023-11-04
220,37,2023-04-22,2023-11-02
221,44,2023-05-06,2023-11-03
222,15,2023-10-12,2023-11-05
223,49,2023-10-23,2023-11-03
224,41,2023-08-12,2023-11-05
225,17,2023-02-22,2023-11-04
226,35,2023-09-21,2023-11-05
227,10,2023-01-06,2023-11-02
228,25,2023-04-21,2023-11-05
229,45,2023-08-30,2023-11-02
230,25,2023-06-13,2023-11-03
231,46,2023-05-26,2023-11-04
232,40,2023-10-30,2023-11-03
233,17,2023-01-15,2023-11-05
234,35,2023-02-01,2023-11-03
235,19,2023-08-24,2023-11-01
236,26,2023-03-18,2023-11-04
237,27,2023-08-13,2023-11-02
238,31,2023-06-29,2023-11-01
239,28,2023-07-28,2023-11-02
240,23,2023-04-10,2023-11-03
241,33,2023-10-02,2023-11-04
242,48,2023-10-23,2023-11-02
243,19,2023-06-22,2023-11-05
244,41,2023-02-12,2023-11-01
245,35,2023-03-27,2023-11-05
246,26,2023-01-31,2023-11-01
247,48,2023-09-24,2023-11-03
248,16,2023-07-12,2023-11-02
249,16,2023-02-02,2023-11-01
250,37,2023-03-17,2023-11-05
251,49,2023-01-16,2023-11-02
252,24,2023-06-24,2023-11-02
253,23,2023-09-21,2023-11-03
254,11,2023-10-08,2023-11-03
255,13,2023-04-03,2023-11-05
256,25,2023-02-07,2023-11-02
257,31,2023-07-10,2023-11-04
258,38,2023-02-02,2023-11-03
259,35,2023-09-21,2023-11-02
260,28,2023-07-02,2023-11-05
261,29,2023-01-21,2023-11-04
262,41,2023-10-12,2023-11-05
263,45,2023-08-16,2023-11-05
264,44,2023-01-21,2023-11-04
265,18,2023-10-06,2023-11-02
266,27,2023-06-18,2023-11-05
267,25,2023-05-20,2023-11-03
268,21,2023-02-05,2023-11-03
269,36,2023-05-22,2023-11-03
270,17,2023-02-16,2023-11-04
271,38,2023-06-28,2023-11-04
272,46,2023-03-28,2023-11-03
273,11,2023-04-15,2023-11-04
274,27,2023-08-16,2023-11-01
275,45,2023-02-07,2023-11-01
276,23,2023-03-01,2023-11-02
277,27,2023-03-12,2023-11-03
278,18,2023-08-27,2023-11-01
279,30,2023-04-28,2023-11-05
280,10,2023-06-17,2023-11-05
281,42,2023-01-23,2023-11-01
282,31,2023-04-23,2023-11-03
283,25,2023-01-07,2023-11-03
284,26,2023-10-07,2023-11-05
285,44,2023-04-09,2023-11-02
286,16,2023-10-29,2023-11-05
287,34,2023-09-28,2023-11-03
288,40,2023-01-20,2023-11-04
289,18,2023-05-28,2023-11-01
290,34,2023-02-07,2023-11-05
291,22,2023-08-07,2023-11-01
292,28,2023-03-01,2023-11-03
293,24,2023-03-09,2023-11-05
294,15,2023-09-06,2023-11-02
295,32,2023-06-24,2023-11-02
296,44,2023-01-11,2023-11-02
297,13,2023-04-17,2023-11-05
298,48,2023-03-13,2023-11-05
299,19,2023-03-26,2023-11-01
300,45,2023-08-12,2023-11-02
301,42,2023-04-01,2023-11-05
302,10,2023-01-08,2023-11-02
303,27,2023-02-09,2023-11-01
304,33,2023-05-03,2023-11-01
305,43,2023-05-01,2023-11-05
306,20,2023-05-27,2023-11-04
307,29,2023-01-13,2023-11-02
308,45,2023-11-03,2023-11-04
309,36,2023-04-20,2023-11-05
310,40,2023-10-14,2023-11-03
311,43,2023-03-19,2023-11-03
312,24,2023-10-09,2023-11-01
313,34,2023-03-27,2023-11-05
314,33,2023-09-17,2023-11-03
315,32,2023-01-23,2023-11-05
316,40,2023-10-24,2023-11-04
317,31,2023-02-16,2023-11-04
318,12,2023-06-26,2023-11-03
319,50,2023-09-29,2023-11-02
320,36,2023-01-11,2023-11-01
321,44,2023-03-19,2023-11-03
322,47,2023-04-04,2023-11-05
323,28,2023-02-07,2023-11-01
324,20,2023-04-30,2023-11-05
325,29,2023-05-26,2023-11-04
326,49,2023-02-16,2023-11-04
327,34,2023-10-06,2023-11-01
328,45,2023-07-30,2023-11-03
329,14,2023-08-16,2023-11-02
330,38,2023-01-30,2023-11-04
331,45,2023-07-17,2023-11-02
332,20,2023-04-24,2023-11-01
333,33,2023-01-07,2023-11-02
334,30,2023-07-10,2023-11-04
335,27,2023-07-22,2023-11-04
336,46,2023-06-16,2023-11-05
337,21,2023-02-14,2023-11-03
338,45,2023-02-17,2023-11-04
339,35,2023-10-27,2023-11-03
340,35,2023-01-06,2023-11-05
341,45,2023-03-18,2023-11-04
342,40,2023-10-14,2023-11-01
343,28,2023-06-06,2023-11-04
344,39,2023-03-29,2023-11-05
345,11,2023-06-23,2023-11-05
346,35,2023-10-15,2023-11-02
347,34,2023-06-05,2023-11-05
348,34,2023-01-18,2023-11-05
349,34,2023-10-25,2023-11-03
350,48,2023-07-26,2023-11-04
351,21,2023-04-10,2023-11-02
352,49,2023-10-22,2023-11-01
353,44,2023-07-18,2023-11-02
354,44,2023-09-23,2023-11-01
355,31,2023-06-25,2023-11-04
356,22,2023-10-04,2023-11-05
357,16,2023-10-13,2023-11-05
358,13,2023-05-30,2023-11-03
359,27,2023-09-01,2023-11-03
360,21,2023-02-01,2023-11-03
361,26,2023-03-04,2023-11-01
362,29,2023-01-20,2023-11-01
363,41,2023-03-02,2023-11-01
364,25,2023-02-14,2023-11-04
365,13,2023-02-23,2023-11-05
366,38,2023-06-06,2023-11-04
367,35,2023-06-12,2023-11-03
368,45,2023-07-08,2023-11-03
369,48,2023-10-25,2023-11-05
370,15,2023-05-26,2023-11-05
371,25,2023-08-11,2023-11-01
372,10,2023-06-16,2023-11-02
373,48,2023-05-27,2023-11-01
374,19,2023-04-29,2023-11-02
375,23,2023-05-13,2023-11-02
376,14,2023-03-02,2023-11-05
377,36,2023-07-01,2023-11-02
378,26,2023-04-05,2023-11-03
379,46,2023-09-17,2023-11-01
380,29,2023-02-28,2023-11-04
381,17,2023-04-25,2023-11-04
382,12,2023-01-08,2023-11-04
383,38,2023-02-24,2023-11-03
384,48,2023-06-13,2023-11-05
385,34,2023-01-12,2023-11-05
386,10,2023-09-24,2023-11-03
387,42,2023-01-12,2023-11-01
388,33,2023-06-02,2023-11-02
389,40,2023-05-18,2023-11-02
390,47,2023-08-22,2023-11-01
391,39,2023-09-04,2023-11-01
392,36,2023-07-20,2023-11-04
393,35,2023-09-25,2023-11-05
394,19,2023-09-28,2023-11-04
395,41,2023-07-12,2023-11-02
396,44,2023-02-11,2023-11-04
397,26,2023-03-13,2023-11-04
398,48,2023-04-22,2023-11-05
399,16,2023-01-17,2023-11-01
400,23,2023-07-18,2023-11-04
401,24,2023-06-26,2023-11-03
402,23,2023-08-14,2023-11-05
403,17,2023-08-08,2023-11-05
404,13,2023-10-27,2023-11-01
405,14,2023-04-08,2023-11-05
406,19,2023-05-13,2023-11-01
407,34,2023-05-27,2023-11-02
408,44,2023-01-11,2023-11-04
409,31,2023-03-11,2023-11-02
410,12,2023-05-12,2023-11-05
411,50,2023-03-20,2023-11-05
412,24,2023-02-03,2023-11-03
413,40,2023-10-18,2023-11-01
414,41,2023-03-03,2023-11-02
415,15,2023-03-08,2023-11-01
416,31,2023-08-22,2023-11-05
417,24,2023-03-07,2023-11-04
418,41,2023-05-21,2023-11-05
419,10,2023-09-10,2023-11-03
420,41,2023-03-19,2023-11-02
421,20,2023-05-17,2023-11-01
422,13,2023-05-19,2023-11-04
423,11,2023-11-01,2023-11-01
424,14,2023-10-04,2023-11-05
425,48,2023-04-16,2023-11-05
426,50,2023-08-20,2023-11-02
427,26,2023-09-19,2023-11-02
428,43,2023-07-17,2023-11-01
429,48,2023-09-26,2023-11-04
430,13,2023-02-05,2023-11-01
431,24,2023-07-04,2023-11-02
432,20,2023-10-18,2023-11-04
433,15,2023-10-04,2023-11-04
434,38,2023-07-29,2023-11-04
435,41,2023-05-14,2023-11-03
436,50,2023-09-29,2023-11-05
437,44,2023-05-29,2023-11-05
438,22,2023-11-02,2023-11-02
439,46,2023-06-22,2023-11-03
440,32,2023-09-25,2023-11-02
441,16,2023-08-16,2023-11-04
442,22,2023-07-07,2023-11-02
443,17,2023-11-05,2023-11-05
444,44,2023-10-06,2023-11-04
445,31,2023-03-24,2023-11-02
446,21,2023-02-10,2023-11-03
447,17,2023-05-16,2023-11-03
448,49,2023-01-03,2023-11-03
449,23,2023-01-21,2023-11-05
450,46,2023-10-22,2023-11-01
451,13,2023-08-18,2023-11-01
452,29,2023-09-08,2023-11-02
453,20,2023-11-04,2023-11-05
454,31,2023-08-04,2023-11-04
455,23,2023-03-11,2023-11-04
456,19,2023-05-22,2023-11-04
457,43,2023-11-01,2023-11-02
458,34,2023-08-27,2023-11-01
459,39,2023-02-19,2023-11-05
460,47,2023-05-18,2023-11-02
461,44,2023-08-23,2023-11-04
462,12,2023-05-15,2023-11-05
463,18,2023-05-13,2023-11-01
464,29,2023-09-19,2023-11-03
465,14,2023-05-08,2023-11-05
466,16,2023-04-14,2023-11-02
467,20,2023-07-17,2023-11-01
468,15,2023-04-10,2023-11-02
469,42,2023-07-08,2023-11-05
470,28,2023-05-25,2023-11-02
471,11,2023-03-23,2023-11-01
472,40,2023-05-12,2023-11-05
473,18,2023-11-01,2023-11-02
474,14,2023-02-22,2023-11-04
475,49,2023-02-17,2023-11-04
476,22,2023-07-29,2023-11-05
477,19,2023-01-03,2023-11-05
478,21,2023-05-14,2023-11-01
479,46,2023-08-20,2023-11-02
480,18,2023-01-31,2023-11-04
481,45,2023-09-15,2023-11-04
482,29,2023-10-10,2023-11-02
483,34,2023-08-18,2023-11-04
484,19,2023-03-11,2023-11-01
485,40,2023-10-26,2023-11-05
486,12,2023-10-29,2023-11-02
487,17,2023-04-21,2023-11-02
488,32,2023-04-25,2023-11-04
489,49,2023-04-18,2023-11-05
490,30,2023-08-26,2023-11-03
491,32,2023-05-13,2023-11-02
492,12,2023-02-18,2023-11-03
493,14,2023-04-12,2023-11-04
494,20,2023-07-22,2023-11-01
495,28,2023-03-02,2023-11-03
496,34,2023-07-20,2023-11-03
497,10,2023-07-31,2023-11-03
498,38,2023-05-26,2023-11-02
499,46,2023-03-12,2023-11-03
500,19,2023-03-03,2023-11-04
501,42,2023-02-13,2023-11-01
502,26,2023-06-18,2023-11-04
503,37,2023-10-11,2023-11-01
504,44,2023-04-12,2023-11-02
505,10,2023-09-25,2023-11-05
506,19,2023-08-27,2023-11-01
507,39,2023-11-01,2023-11-01
508,25,2023-04-21,2023-11-04
509,13,2023-09-13,2023-11-02
510,36,2023-06-26,2023-11-03
511,48,2023-01-26,2023-11-02
512,29,2023-10-18,2023-11-01
513,10,2023-02-22,2023-11-03
514,28,2023-03-04,2023-11-03
515,30,2023-06-12,2023-11-03
516,17,2023-01-06,2023-11-03
517,10,2023-04-15,2023-11-04
518,39,2023-07-20,2023-11-05
519,18,2023-01-06,2023-11-04
520,35,2023-06-10,2023-11-05
521,22,2023-01-06,2023-11-01
522,42,2023-03-15,2023-11-05
523,13,2023-03-31,2023-11-05
524,35,2023-10-06,2023-11-03
525,24,2023-02-18,2023-11-04
526,15,2023-06-01,2023-11-01
527,24,2023-07-29,2023-11-03
528,13,2023-03-17,2023-11-04
529,45,2023-06-21,2023-11-03
530,33,2023-02-17,2023-11-03
531,15,2023-05-21,2023-11-04
532,20,2023-08-08,2023-11-03
533,28,2023-05-11,2023-11-04
534,17,2023-06-16,2023-11-02
535,30,2023-03-20,2023-11-02
536,24,2023-03-11,2023-11-03
537,34,2023-09-03,2023-11-02
538,27,2023-04-30,2023-11-01
539,33,2023-10-30,2023-11-03
540,33,2023-03-08,2023-11-04
541,15,2023-03-03,2023-11-01
542,18,2023-09-04,2023-11-04
543,48,2023-01-07,2023-11-01
544,43,2023-11-05,2023-11-05
545,17,2023-09-15,2023-11-01
546,12,2023-02-01,2023-11-02
547,28,2023-08-15,2023-11-05
548,24,2023-05-25,2023-11-02
549,30,2023-07-05,2023-11-01
550,10,2023-06-12,2023-11-03
551,24,2023-08-09,2023-11-04
552,21,2023-02-26,2023-11-03
553,44,2023-01-21,2023-11-05
554,19,2023-10-03,2023-11-05
555,10,2023-06-04,2023-11-05
556,21,2023-06-02,2023-11-02
557,22,2023-07-09,2023-11-01
558,30,2023-05-22,2023-11-05
559,35,2023-08-26,2023-11-02
560,12,2023-05-11,2023-11-05
561,35,2023-03-22,2023-11-03
562,15,2023-04-19,2023-11-02
563,35,2023-03-30,2023-11-04
564,41,2023-09-29,2023-11-03
565,44,2023-02-19,2023-11-01
566,31,2023-03-24,2023-11-02
567,31,2023-02-20,2023-11-03
568,49,2023-07-15,2023-11-01
569,36,2023-08-11,2023-11-03
570,27,2023-03-13,2023-11-02
571,25,2023-05-02,2023-11-01
572,49,2023-09-24,2023-11-03
573,34,2023-03-21,2023-11-02
574,31,2023-10-14,2023-11-04
575,34,2023-08-14,2023-11-01
576,36,2023-01-30,2023-11-01
577,12,2023-03-17,2023-11-01
578,20,2023-07-18,2023-11-03
579,26,2023-04-20,2023-11-01
580,19,2023-10-10,2023-11-05
581,45,2023-03-08,2023-11-04
582,22,2023-04-07,2023-11-02
583,45,2023-03-14,2023-11-03
584,15,2023-07-24,2023-11-03
585,18,2023-08-26,2023-11-04
586,50,2023-04-26,2023-11-04
587,35,2023-02-23,2023-11-05
588,19,2023-01-18,2023-11-02
589,43,2023-02-28,2023-11-02
590,14,2023-08-23,2023-11-04
591,38,2023-05-16,2023-11-03
592,13,2023-04-29,2023-11-04
593,13,2023-06-08,2023-11-04
594,45,2023-05-01,2023-11-05
595,43,2023-03-16,2023-11-04
596,33,2023-04-01,2023-11-03
597,34,2023-02-18,2023-11-02
598,49,2023-03-05,2023-11-03
599,37,2023-03-14,2023-11-03
600,42,2023-06-27,2023-11-02
601,23,2023-03-03,2023-11-01
602,21,2023-05-08,2023-11-02
603,31,2023-08-07,2023-11-01
604,37,2023-07-11,2023-11-04
605,17,2023-04-06,2023-11-02
606,22,2023-09-22,2023-11-05
607,34,2023-04-25,2023-11-04
608,48,2023-07-02,2023-11-01
609,43,2023-10-28,2023-11-05
610,16,2023-06-05,2023-11-05
611,21,2023-10-30,2023-11-03
612,41,2023-06-05,2023-11-05
613,35,2023-06-27,2023-11-03
614,19,2023-10-19,2023-11-04
615,12,2023-10-01,2023-11-04
616,30,2023-06-19,2023-11-03
617,40,2023-01-17,2023-11-04
618,32,2023-03-12,2023-11-05
619,28,2023-01-29,2023-11-05
620,21,2023-01-28,2023-11-04
621,23,2023-07-06,2023-11-04
622,24,2023-11-02,2023-11-02
623,50,2023-06-03,2023-11-05
624,18,2023-03-27,2023-11-01
625,18,2023-09-25,2023-11-04
626,32,2023-02-24,2023-11-03
627,40,2023-07-31,2023-11-01
628,49,2023-05-10,2023-11-03
629,36,2023-03-11,2023-11-03
630,31,2023-06-07,2023-11-01
631,19,2023-07-11,2023-11-01
632,34,2023-08-24,2023-11-04
633,10,2023-08-10,2023-11-05
634,32,2023-04-15,2023-11-04
635,25,2023-04-13,2023-11-03
636,40,2023-07-16,2023-11-01
637,27,2023-07-29,2023-11-03
638,47,2023-04-26,2023-11-04
639,36,2023-03-04,2023-11-02
640,10,2023-02-13,2023-11-03
641,50,2023-09-16,2023-11-03
642,29,2023-02-24,2023-11-05
643,16,2023-06-08,2023-11-03
644,16,2023-07-23,2023-11-01
645,42,2023-09-01,2023-11-02
646,48,2023-08-23,2023-11-01
647,36,2023-02-20,2023-11-05
648,25,2023-11-03,2023-11-05
649,27,2023-11-02,2023-11-01
650,43,2023-03-14,2023-11-04
651,22,2023-05-10,2023-11-04
652,48,2023-01-17,2023-11-02
653,45,2023-07-02,2023-11-04
654,43,2023-10-20,2023-11-03
655,48,2023-03-25,2023-11-01
656,42,2023-03-26,2023-11-01
657,28,2023-05-24,2023-11-01
658,18,2023-09-08,2023-11-04
659,44,2023-06-09,2023-11-04
660,19,2023-05-15,2023-11-04
661,50,2023-07-05,2023-11-03
662,15,2023-09-12,2023-11-01
663,32,2023-06-12,2023-11-03
664,12,2023-07-22,2023-11-01
665,24,2023-07-14,2023-11-04
666,48,2023-10-08,2023-11-03
667,29,2023-05-09,2023-11-05
668,32,2023-10-17,2023-11-01
669,38,2023-10-03,2023-11-01
670,28,2023-05-11,2023-11-01
671,31,2023-05-03,2023-11-01
672,50,2023-05-04,2023-11-02
673,14,2023-07-12,2023-11-05
674,43,2023-01-30,2023-11-05
675,13,2023-09-24,2023-11-03
676,34,2023-07-01,2023-11-03
677,13,2023-02-09,2023-11-03
678,50,2023-06-10,2023-11-03
679,46,2023-08-25,2023-11-03
680,19,2023-03-14,2023-11-03
681,36,2023-07-29,2023-11-02
682,18,2023-04-10,2023-11-03
683,37,2023-10-05,2023-11-01
684,49,2023-06-21,2023-11-05
685,46,2023-02-21,2023-11-03
686,43,2023-01-03,2023-11-02
687,13,2023-07-08,2023-11-02
688,32,2023-09-14,2023-11-05
689,46,2023-02-24,2023-11-05
690,40,2023-05-25,2023-11-05
691,39,2023-06-20,2023-11-05
692,29,2023-03-01,2023-11-02
693,37,2023-03-20,2023-11-04
694,46,2023-02-18,2023-11-05
695,28,2023-02-04,2023-11-01
696,42,2023-07-24,2023-11-02
697,49,2023-09-06,2023-11-05
698,47,2023-04-11,2023-11-01
699,42,2023-10-02,2023-11-05
700,38,2023-05-23,2023-11-02
701,24,2023-08-18,2023-11-01
702,41,2023-02-18,2023-11-01
703,37,2023-08-25,2023-11-02
704,44,2023-03-19,2023-11-01
705,33,2023-02-11,2023-11-02
706,49,2023-04-01,2023-11-01
707,39,2023-07-08,2023-11-03
708,16,2023-01-01,2023-11-01
709,39,2023-08-21,2023-11-02
710,42,2023-01-02,2023-11-01
711,27,2023-10-07,2023-11-03
712,39,2023-10-11,2023-11-03
713,10,2023-08-14,2023-11-03
714,47,2023-02-05,2023-11-01
715,35,2023-03-24,2023-11-05
716,44,2023-07-31,2023-11-02
717,50,2023-03-19,2023-11-03
718,26,2023-08-03,2023-11-01
719,42,2023-06-28,2023-11-05
720,40,2023-08-05,2023-11-01
721,46,2023-10-25,2023-11-01
722,20,2023-01-09,2023-11-02
723,14,2023-03-23,2023-11-05
724,33,2023-03-07,2023-11-01
725,17,2023-10-22,2023-11-04
726,40,2023-11-05,2023-11-03
727,40,2023-10-16,2023-11-05
728,16,2023-03-05,2023-11-02
729,45,2023-01-26,2023-11-02
730,25,2023-09-12,2023-11-03
731,12,2023-11-02,2023-11-01
732,44,2023-06-25,2023-11-03
733,42,2023-08-04,2023-11-01
734,22,2023-02-15,2023-11-05
735,43,2023-02-11,2023-11-04
736,47,2023-08-22,2023-11-01
737,43,2023-06-05,2023-11-03
738,34,2023-02-07,2023-11-05
739,15,2023-10-25,2023-11-02
740,15,2023-10-24,2023-11-01
741,28,2023-03-08,2023-11-04
742,17,2023-10-28,2023-11-05
743,27,2023-04-03,2023-11-04
744,15,2023-08-24,2023-11-03
745,38,2023-01-21,2023-11-04
746,28,2023-08-27,2023-11-02
747,13,2023-01-22,2023-11-05
748,39,2023-07-25,2023-11-04
749,26,2023-01-26,2023-11-02
750,21,2023-03-31,2023-11-04
751,17,2023-11-05,2023-11-05
752,10,2023-10-04,2023-11-05
753,15,2023-01-26,2023-11-02
754,43,2023-08-29,2023-11-05
755,22,2023-05-26,2023-11-05
756,26,2023-03-02,2023-11-01
757,47,2023-06-24,2023-11-05
758,45,2023-09-23,2023-11-01
759,31,2023-01-09,2023-11-01
760,21,2023-10-07,2023-11-02
761,45,2023-03-30,2023-11-04
762,47,2023-10-31,2023-11-05
763,28,2023-06-05,2023-11-03
764,36,2023-04-01,2023-11-01
765,36,2023-03-17,2023-11-01
766,17,2023-04-25,2023-11-05
767,43,2023-01-07,2023-11-03
768,20,2023-10-01,2023-11-01
769,12,2023-09-28,2023-11-02
770,13,2023-10-21,2023-11-03
771,21,2023-03-10,2023-11-03
772,26,2023-05-29,2023-11-05
773,39,2023-03-16,2023-11-02
