TuitionID,Tuition,PaymentStart,PaymentEnd,Service
53,32,9/21/2023,11/2/2023,English
54,31,6/27/2023,11/1/2023,Spanish
55,45,6/3/2023,11/1/2023,Chemistry
56,32,10/17/2023,11/2/2023,English
57,28,10/21/2023,11/4/2023,Spanish
58,40,3/8/2023,11/1/2023,English
59,49,8/14/2023,11/2/2023,English
60,12,7/18/2023,11/2/2023,Math
61,23,2/3/2023,11/2/2023,Chemistry
62,41,3/12/2023,11/3/2023,Chemistry
63,11,4/30/2023,11/1/2023,Biology
64,18,1/12/2023,11/3/2023,English
65,36,9/7/2023,11/3/2023,Biology
66,37,4/29/2023,11/1/2023,Math
67,14,9/4/2023,11/3/2023,Math
68,47,2/8/2023,11/2/2023,Biology
69,24,8/1/2023,11/1/2023,Chemistry
70,12,8/4/2023,11/3/2023,Spanish
71,25,10/23/2023,11/1/2023,Math
72,19,9/9/2023,11/1/2023,Chemistry
73,18,2/6/2023,11/5/2023,English
74,26,10/17/2023,11/2/2023,Chemistry
75,33,6/2/2023,11/3/2023,English
76,11,9/19/2023,11/4/2023,Biology
77,43,9/8/2023,11/2/2023,Chemistry
78,49,2/13/2023,11/5/2023,Spanish
79,24,2/17/2023,11/1/2023,Chemistry
80,24,3/9/2023,11/4/2023,Chemistry
81,21,10/10/2023,11/3/2023,Math
82,18,7/14/2023,11/5/2023,Spanish
83,19,8/20/2023,11/5/2023,English
84,48,5/13/2023,11/5/2023,English
85,38,1/26/2023,11/2/2023,English
86,14,7/17/2023,11/1/2023,Spanish
87,17,7/18/2023,11/2/2023,Math
88,38,10/26/2023,11/1/2023,Spanish
89,37,4/3/2023,11/2/2023,Chemistry
90,39,5/25/2023,11/2/2023,Spanish
91,19,2/13/2023,11/5/2023,Spanish
92,34,1/24/2023,11/4/2023,Math
93,42,7/2/2023,11/2/2023,Math
94,49,5/11/2023,11/2/2023,English
95,50,2/7/2023,11/3/2023,English
96,13,7/23/2023,11/1/2023,Biology
97,22,5/15/2023,11/1/2023,Math
98,48,5/23/2023,11/4/2023,Math
99,43,2/7/2023,11/1/2023,English
100,14,2/27/2023,11/3/2023,Spanish
101,13,4/26/2023,11/2/2023,Biology
102,28,2/19/2023,11/4/2023,English
103,12,10/14/2023,11/2/2023,Spanish
104,38,8/14/2023,11/4/2023,Spanish
105,16,10/30/2023,11/5/2023,Biology
106,23,6/12/2023,11/5/2023,Biology
107,49,4/4/2023,11/5/2023,Spanish
108,31,1/15/2023,11/4/2023,Spanish
109,14,6/27/2023,11/2/2023,Spanish
110,21,1/10/2023,11/1/2023,Spanish
111,33,7/1/2023,11/2/2023,Chemistry
112,26,8/24/2023,11/1/2023,Biology
113,28,4/16/2023,11/1/2023,Spanish
114,28,4/17/2023,11/2/2023,Chemistry
115,36,5/9/2023,11/1/2023,Spanish
116,38,3/19/2023,11/5/2023,Math
117,15,2/24/2023,11/5/2023,English
118,40,6/13/2023,11/5/2023,English
119,45,9/29/2023,11/1/2023,Math
120,38,4/1/2023,11/2/2023,Biology
121,20,10/9/2023,11/1/2023,Biology
122,49,2/17/2023,11/1/2023,Math
123,35,2/21/2023,11/1/2023,Math
124,48,10/23/2023,11/1/2023,English
125,48,6/13/2023,11/3/2023,Chemistry
126,44,8/25/2023,11/3/2023,Spanish
127,40,7/24/2023,11/2/2023,Chemistry
128,46,6/3/2023,11/3/2023,Chemistry
129,40,7/28/2023,11/2/2023,English
130,45,4/9/2023,11/1/2023,Spanish
131,20,1/3/2023,11/4/2023,Chemistry
132,31,7/21/2023,11/5/2023,Spanish
133,19,5/1/2023,11/5/2023,Chemistry
134,44,8/21/2023,11/2/2023,Spanish
135,14,3/24/2023,11/4/2023,English
136,14,6/11/2023,11/1/2023,Chemistry
137,29,5/19/2023,11/4/2023,Biology
138,32,5/8/2023,11/5/2023,Spanish
139,36,10/3/2023,11/2/2023,Biology
140,24,2/18/2023,11/5/2023,English
141,40,10/26/2023,11/2/2023,Biology
142,47,5/1/2023,11/3/2023,English
143,35,10/18/2023,11/5/2023,English
144,35,3/13/2023,11/3/2023,English
145,40,8/21/2023,11/1/2023,English
146,33,10/6/2023,11/2/2023,Spanish
147,24,1/20/2023,11/1/2023,English
148,29,10/29/2023,11/3/2023,Math
149,49,8/17/2023,11/1/2023,Spanish
150,41,9/29/2023,11/5/2023,English
151,17,3/31/2023,11/5/2023,Biology
152,35,4/28/2023,11/1/2023,English
153,49,5/5/2023,11/5/2023,Spanish
154,34,3/26/2023,11/1/2023,Spanish
155,21,10/5/2023,11/5/2023,English
156,23,8/17/2023,11/1/2023,English
157,43,1/15/2023,11/3/2023,English
158,10,1/21/2023,11/5/2023,English
159,36,1/21/2023,11/2/2023,Chemistry
160,31,2/10/2023,11/2/2023,Chemistry
161,27,4/21/2023,11/5/2023,English
162,22,11/3/2023,11/3/2023,Biology
163,28,4/25/2023,11/3/2023,Math
164,18,9/29/2023,11/2/2023,Math
165,50,2/25/2023,11/1/2023,English
166,22,10/22/2023,11/5/2023,Biology
167,21,1/13/2023,11/1/2023,Biology
168,32,8/10/2023,11/3/2023,English
169,27,9/9/2023,11/5/2023,Math
170,26,7/29/2023,11/1/2023,Spanish
171,30,7/24/2023,11/5/2023,English
172,25,2/16/2023,11/4/2023,Chemistry
173,49,10/15/2023,11/3/2023,Chemistry
174,41,10/29/2023,11/2/2023,Math
175,29,5/31/2023,11/5/2023,English
176,43,3/12/2023,11/2/2023,English
177,17,2/17/2023,11/1/2023,Biology
178,28,8/3/2023,11/1/2023,Spanish
179,32,11/3/2023,11/5/2023,English
180,17,10/31/2023,11/1/2023,Spanish
181,42,10/8/2023,11/5/2023,English
182,11,7/24/2023,11/2/2023,Chemistry
183,47,3/9/2023,11/1/2023,Chemistry
184,31,6/29/2023,11/1/2023,Biology
185,12,5/25/2023,11/1/2023,Biology
186,27,3/26/2023,11/3/2023,English
187,11,9/14/2023,11/2/2023,Biology
188,18,2/20/2023,11/5/2023,Spanish
189,11,6/8/2023,11/4/2023,Math
190,12,8/20/2023,11/1/2023,Biology
191,46,1/1/2023,11/2/2023,Math
192,10,5/21/2023,11/2/2023,Biology
193,20,6/24/2023,11/4/2023,Math
194,29,10/29/2023,11/3/2023,Chemistry
195,30,7/24/2023,11/4/2023,English
196,35,4/6/2023,11/3/2023,Chemistry
197,50,6/24/2023,11/4/2023,Spanish
198,45,3/22/2023,11/4/2023,Biology
199,15,1/26/2023,11/5/2023,Math
200,43,5/7/2023,11/3/2023,Spanish
201,28,8/21/2023,11/2/2023,Chemistry
202,25,3/9/2023,11/1/2023,Chemistry
203,40,7/22/2023,11/4/2023,Math
204,48,6/6/2023,11/4/2023,Spanish
205,48,6/2/2023,11/4/2023,English
206,40,10/11/2023,11/3/2023,Chemistry
207,39,10/11/2023,11/5/2023,English
208,23,5/1/2023,11/1/2023,Chemistry
209,43,10/14/2023,11/2/2023,Biology
210,11,6/25/2023,11/3/2023,Spanish
211,30,7/18/2023,11/3/2023,Spanish
212,50,8/2/2023,11/1/2023,Spanish
213,46,3/16/2023,11/4/2023,Math
214,11,10/5/2023,11/3/2023,English
215,14,1/29/2023,11/1/2023,Math
216,19,7/2/2023,11/5/2023,English
217,35,5/22/2023,11/4/2023,Chemistry
218,10,6/30/2023,11/3/2023,Spanish
219,35,8/20/2023,11/2/2023,Math
220,25,7/31/2023,11/4/2023,English
221,37,4/22/2023,11/2/2023,Spanish
222,44,5/6/2023,11/3/2023,Spanish
223,15,10/12/2023,11/5/2023,English
224,49,10/23/2023,11/3/2023,Math
225,41,8/12/2023,11/5/2023,Chemistry
226,17,2/22/2023,11/4/2023,Math
227,35,9/21/2023,11/5/2023,Spanish
228,10,1/6/2023,11/2/2023,English
229,25,4/21/2023,11/5/2023,English
230,45,8/30/2023,11/2/2023,English
231,25,6/13/2023,11/3/2023,Math
232,46,5/26/2023,11/4/2023,Spanish
233,40,10/30/2023,11/3/2023,Spanish
234,17,1/15/2023,11/5/2023,English
235,35,2/1/2023,11/3/2023,Spanish
236,19,8/24/2023,11/1/2023,Chemistry
237,26,3/18/2023,11/4/2023,English
238,27,8/13/2023,11/2/2023,Chemistry
239,31,6/29/2023,11/1/2023,Math
240,28,7/28/2023,11/2/2023,Chemistry
241,23,4/10/2023,11/3/2023,Spanish
242,33,10/2/2023,11/4/2023,Chemistry
243,48,10/23/2023,11/2/2023,English
244,19,6/22/2023,11/5/2023,English
245,41,2/12/2023,11/1/2023,English
246,35,3/27/2023,11/5/2023,English
247,26,1/31/2023,11/1/2023,Biology
248,48,9/24/2023,11/3/2023,Biology
249,16,7/12/2023,11/2/2023,Chemistry
250,16,2/2/2023,11/1/2023,Biology
251,37,3/17/2023,11/5/2023,Spanish
252,49,1/16/2023,11/2/2023,English
253,24,6/24/2023,11/2/2023,Chemistry
254,23,9/21/2023,11/3/2023,Spanish
255,11,10/8/2023,11/3/2023,Biology
256,13,4/3/2023,11/5/2023,Spanish
257,25,2/7/2023,11/2/2023,Chemistry
258,31,7/10/2023,11/4/2023,Math
259,38,2/2/2023,11/3/2023,English
260,35,9/21/2023,11/2/2023,Spanish
261,28,7/2/2023,11/5/2023,Biology
262,29,1/21/2023,11/4/2023,English
263,41,10/12/2023,11/5/2023,English
264,45,8/16/2023,11/5/2023,Chemistry
265,44,1/21/2023,11/4/2023,English
266,18,10/6/2023,11/2/2023,Math
267,27,6/18/2023,11/5/2023,Chemistry
268,25,5/20/2023,11/3/2023,Chemistry
269,21,2/5/2023,11/3/2023,Chemistry
270,36,5/22/2023,11/3/2023,Biology
271,17,2/16/2023,11/4/2023,Math
272,38,6/28/2023,11/4/2023,Biology
273,46,3/28/2023,11/3/2023,English
274,11,4/15/2023,11/4/2023,Chemistry
275,27,8/16/2023,11/1/2023,Spanish
276,45,2/7/2023,11/1/2023,Math
277,23,3/1/2023,11/2/2023,Chemistry
278,27,3/12/2023,11/3/2023,English
279,18,8/27/2023,11/1/2023,Spanish
280,30,4/28/2023,11/5/2023,Biology
281,10,6/17/2023,11/5/2023,Math
282,42,1/23/2023,11/1/2023,English
283,31,4/23/2023,11/3/2023,Chemistry
284,25,1/7/2023,11/3/2023,Math
285,26,10/7/2023,11/5/2023,English
286,44,4/9/2023,11/2/2023,Spanish
287,16,10/29/2023,11/5/2023,Biology
288,34,9/28/2023,11/3/2023,English
289,40,1/20/2023,11/4/2023,Chemistry
290,18,5/28/2023,11/1/2023,Biology
291,34,2/7/2023,11/5/2023,English
292,22,8/7/2023,11/1/2023,Math
293,28,3/1/2023,11/3/2023,English
294,24,3/9/2023,11/5/2023,Biology
295,15,9/6/2023,11/2/2023,English
296,32,6/24/2023,11/2/2023,Spanish
297,44,1/11/2023,11/2/2023,Spanish
298,13,4/17/2023,11/5/2023,Spanish
299,48,3/13/2023,11/5/2023,Math
300,19,3/26/2023,11/1/2023,Spanish
301,45,8/12/2023,11/2/2023,Chemistry
302,42,4/1/2023,11/5/2023,English
303,10,1/8/2023,11/2/2023,Chemistry
304,27,2/9/2023,11/1/2023,Math
305,33,5/3/2023,11/1/2023,Biology
306,43,5/1/2023,11/5/2023,Math
307,20,5/27/2023,11/4/2023,English
308,29,1/13/2023,11/2/2023,Biology
309,45,11/3/2023,11/4/2023,Chemistry
310,36,4/20/2023,11/5/2023,Biology
311,40,10/14/2023,11/3/2023,Math
312,43,3/19/2023,11/3/2023,English
313,24,10/9/2023,11/1/2023,Math
314,34,3/27/2023,11/5/2023,Math
315,33,9/17/2023,11/3/2023,Spanish
316,32,1/23/2023,11/5/2023,English
317,40,10/24/2023,11/4/2023,Math
318,31,2/16/2023,11/4/2023,Biology
319,12,6/26/2023,11/3/2023,English
320,50,9/29/2023,11/2/2023,Biology
321,36,1/11/2023,11/1/2023,Chemistry
322,44,3/19/2023,11/3/2023,Chemistry
323,47,4/4/2023,11/5/2023,English
324,28,2/7/2023,11/1/2023,English
325,20,4/30/2023,11/5/2023,Chemistry
326,29,5/26/2023,11/4/2023,Biology
327,49,2/16/2023,11/4/2023,Chemistry
328,34,10/6/2023,11/1/2023,Math
329,45,7/30/2023,11/3/2023,Chemistry
330,14,8/16/2023,11/2/2023,Biology
331,38,1/30/2023,11/4/2023,Math
332,45,7/17/2023,11/2/2023,Math
333,20,4/24/2023,11/1/2023,Math
334,33,1/7/2023,11/2/2023,Chemistry
335,30,7/10/2023,11/4/2023,Math
336,27,7/22/2023,11/4/2023,Biology
337,46,6/16/2023,11/5/2023,Chemistry
338,21,2/14/2023,11/3/2023,Biology
339,45,2/17/2023,11/4/2023,Chemistry
340,35,10/27/2023,11/3/2023,Spanish
341,35,1/6/2023,11/5/2023,Math
342,45,3/18/2023,11/4/2023,Math
343,40,10/14/2023,11/1/2023,Math
344,28,6/6/2023,11/4/2023,Chemistry
345,39,3/29/2023,11/5/2023,Math
346,11,6/23/2023,11/5/2023,Biology
347,35,10/15/2023,11/2/2023,Math
348,34,6/5/2023,11/5/2023,Spanish
349,34,1/18/2023,11/5/2023,English
350,34,10/25/2023,11/3/2023,Math
351,48,7/26/2023,11/4/2023,Chemistry
352,21,4/10/2023,11/2/2023,English
353,49,10/22/2023,11/1/2023,Spanish
354,44,7/18/2023,11/2/2023,English
355,44,9/23/2023,11/1/2023,Chemistry
356,31,6/25/2023,11/4/2023,Chemistry
357,22,10/4/2023,11/5/2023,Biology
358,16,10/13/2023,11/5/2023,English
359,13,5/30/2023,11/3/2023,Biology
360,27,9/1/2023,11/3/2023,Chemistry
361,21,2/1/2023,11/3/2023,Chemistry
362,26,3/4/2023,11/1/2023,Biology
363,29,1/20/2023,11/1/2023,Math
364,41,3/2/2023,11/1/2023,Spanish
365,25,2/14/2023,11/4/2023,Spanish
366,13,2/23/2023,11/5/2023,English
367,38,6/6/2023,11/4/2023,English
368,35,6/12/2023,11/3/2023,English
369,45,7/8/2023,11/3/2023,Spanish
370,48,10/25/2023,11/5/2023,Spanish
371,15,5/26/2023,11/5/2023,Biology
372,25,8/11/2023,11/1/2023,Biology
373,10,6/16/2023,11/2/2023,Biology
374,48,5/27/2023,11/1/2023,Spanish
375,19,4/29/2023,11/2/2023,English
376,23,5/13/2023,11/2/2023,English
377,14,3/2/2023,11/5/2023,Biology
378,36,7/1/2023,11/2/2023,Math
379,26,4/5/2023,11/3/2023,Biology
380,46,9/17/2023,11/1/2023,Chemistry
381,29,2/28/2023,11/4/2023,Spanish
382,17,4/25/2023,11/4/2023,Spanish
383,12,1/8/2023,11/4/2023,Biology
384,38,2/24/2023,11/3/2023,Math
385,48,6/13/2023,11/5/2023,Spanish
386,34,1/12/2023,11/5/2023,Spanish
387,10,9/24/2023,11/3/2023,Math
388,42,1/12/2023,11/1/2023,Spanish
389,33,6/2/2023,11/2/2023,Chemistry
390,40,5/18/2023,11/2/2023,Math
391,47,8/22/2023,11/1/2023,English
392,39,9/4/2023,11/1/2023,Chemistry
393,36,7/20/2023,11/4/2023,Biology
394,35,9/25/2023,11/5/2023,Chemistry
395,19,9/28/2023,11/4/2023,Chemistry
396,41,7/12/2023,11/2/2023,Math
397,44,2/11/2023,11/4/2023,English
398,26,3/13/2023,11/4/2023,Biology
399,48,4/22/2023,11/5/2023,English
400,16,1/17/2023,11/1/2023,Math
401,23,7/18/2023,11/4/2023,Spanish
402,24,6/26/2023,11/3/2023,Spanish
403,23,8/14/2023,11/5/2023,Biology
404,17,8/8/2023,11/5/2023,Math
405,13,10/27/2023,11/1/2023,Chemistry
406,14,4/8/2023,11/5/2023,English
407,19,5/13/2023,11/1/2023,Math
408,34,5/27/2023,11/2/2023,English
409,44,1/11/2023,11/4/2023,Chemistry
410,31,3/11/2023,11/2/2023,Biology
411,12,5/12/2023,11/5/2023,Math
412,50,3/20/2023,11/5/2023,English
413,24,2/3/2023,11/3/2023,English
414,40,10/18/2023,11/1/2023,English
415,41,3/3/2023,11/2/2023,Spanish
416,15,3/8/2023,11/1/2023,Biology
417,31,8/22/2023,11/5/2023,Biology
418,24,3/7/2023,11/4/2023,Spanish
419,41,5/21/2023,11/5/2023,English
420,10,9/10/2023,11/3/2023,Chemistry
421,41,3/19/2023,11/2/2023,Math
422,20,5/17/2023,11/1/2023,Biology
423,13,5/19/2023,11/4/2023,Spanish
424,11,11/1/2023,11/1/2023,Chemistry
425,14,10/4/2023,11/5/2023,Biology
426,48,4/16/2023,11/5/2023,English
427,50,8/20/2023,11/2/2023,Math
428,26,9/19/2023,11/2/2023,Biology
429,43,7/17/2023,11/1/2023,Spanish
430,48,9/26/2023,11/4/2023,Chemistry
431,13,2/5/2023,11/1/2023,Spanish
432,24,7/4/2023,11/2/2023,Spanish
433,20,10/18/2023,11/4/2023,Spanish
434,15,10/4/2023,11/4/2023,Biology
435,38,7/29/2023,11/4/2023,English
436,41,5/14/2023,11/3/2023,Biology
437,50,9/29/2023,11/5/2023,English
438,44,5/29/2023,11/5/2023,Chemistry
439,22,11/2/2023,11/2/2023,Math
440,46,6/22/2023,11/3/2023,Spanish
441,32,9/25/2023,11/2/2023,Chemistry
442,16,8/16/2023,11/4/2023,Spanish
443,22,7/7/2023,11/2/2023,Math
444,17,11/5/2023,11/5/2023,Spanish
445,44,10/6/2023,11/4/2023,Chemistry
446,31,3/24/2023,11/2/2023,Spanish
447,21,2/10/2023,11/3/2023,English
448,17,5/16/2023,11/3/2023,Spanish
449,49,1/3/2023,11/3/2023,Chemistry
450,23,1/21/2023,11/5/2023,Math
451,46,10/22/2023,11/1/2023,English
452,13,8/18/2023,11/1/2023,Math
453,29,9/8/2023,11/2/2023,English
454,20,11/4/2023,11/5/2023,English
455,31,8/4/2023,11/4/2023,Spanish
456,23,3/11/2023,11/4/2023,English
457,19,5/22/2023,11/4/2023,Math
458,43,11/1/2023,11/2/2023,English
459,34,8/27/2023,11/1/2023,Math
460,39,2/19/2023,11/5/2023,Chemistry
461,47,5/18/2023,11/2/2023,English
462,44,8/23/2023,11/4/2023,Biology
463,12,5/15/2023,11/5/2023,Spanish
464,18,5/13/2023,11/1/2023,English
465,29,9/19/2023,11/3/2023,Biology
466,14,5/8/2023,11/5/2023,Biology
467,16,4/14/2023,11/2/2023,Spanish
468,20,7/17/2023,11/1/2023,Chemistry
469,15,4/10/2023,11/2/2023,Math
470,42,7/8/2023,11/5/2023,Math
471,28,5/25/2023,11/2/2023,Chemistry
472,11,3/23/2023,11/1/2023,Spanish
473,40,5/12/2023,11/5/2023,English
474,18,11/1/2023,11/2/2023,Spanish
475,14,2/22/2023,11/4/2023,English
476,49,2/17/2023,11/4/2023,Math
477,22,7/29/2023,11/5/2023,Biology
478,19,1/3/2023,11/5/2023,Biology
479,21,5/14/2023,11/1/2023,Spanish
480,46,8/20/2023,11/2/2023,Math
481,18,1/31/2023,11/4/2023,English
482,45,9/15/2023,11/4/2023,Biology
483,29,10/10/2023,11/2/2023,Biology
484,34,8/18/2023,11/4/2023,Math
485,19,3/11/2023,11/1/2023,Spanish
486,40,10/26/2023,11/5/2023,Spanish
487,12,10/29/2023,11/2/2023,Spanish
488,17,4/21/2023,11/2/2023,Biology
489,32,4/25/2023,11/4/2023,English
490,49,4/18/2023,11/5/2023,Spanish
491,30,8/26/2023,11/3/2023,Chemistry
492,32,5/13/2023,11/2/2023,Spanish
493,12,2/18/2023,11/3/2023,English
494,14,4/12/2023,11/4/2023,Spanish
495,20,7/22/2023,11/1/2023,English
496,28,3/2/2023,11/3/2023,Math
497,34,7/20/2023,11/3/2023,Chemistry
498,10,7/31/2023,11/3/2023,Spanish
499,38,5/26/2023,11/2/2023,Chemistry
500,46,3/12/2023,11/3/2023,Biology
501,19,3/3/2023,11/4/2023,Spanish
502,42,2/13/2023,11/1/2023,Spanish
503,26,6/18/2023,11/4/2023,Math
504,37,10/11/2023,11/1/2023,Biology
505,44,4/12/2023,11/2/2023,Math
506,10,9/25/2023,11/5/2023,Math
507,19,8/27/2023,11/1/2023,Chemistry
508,39,11/1/2023,11/1/2023,Biology
509,25,4/21/2023,11/4/2023,Chemistry
510,13,9/13/2023,11/2/2023,Biology
511,36,6/26/2023,11/3/2023,Math
512,48,1/26/2023,11/2/2023,Biology
513,29,10/18/2023,11/1/2023,Biology
514,10,2/22/2023,11/3/2023,Biology
515,28,3/4/2023,11/3/2023,Math
516,30,6/12/2023,11/3/2023,English
517,17,1/6/2023,11/3/2023,Chemistry
518,10,4/15/2023,11/4/2023,Math
519,39,7/20/2023,11/5/2023,English
520,18,1/6/2023,11/4/2023,Chemistry
521,35,6/10/2023,11/5/2023,Spanish
522,22,1/6/2023,11/1/2023,Chemistry
523,42,3/15/2023,11/5/2023,Spanish
524,13,3/31/2023,11/5/2023,English
525,35,10/6/2023,11/3/2023,Chemistry
526,24,2/18/2023,11/4/2023,Math
527,15,6/1/2023,11/1/2023,Chemistry
528,24,7/29/2023,11/3/2023,Chemistry
529,13,3/17/2023,11/4/2023,Biology
530,45,6/21/2023,11/3/2023,Math
531,33,2/17/2023,11/3/2023,Spanish
532,15,5/21/2023,11/4/2023,Spanish
533,20,8/8/2023,11/3/2023,Math
534,28,5/11/2023,11/4/2023,Chemistry
535,17,6/16/2023,11/2/2023,English
536,30,3/20/2023,11/2/2023,Chemistry
537,24,3/11/2023,11/3/2023,Chemistry
538,34,9/3/2023,11/2/2023,Chemistry
539,27,4/30/2023,11/1/2023,Chemistry
540,33,10/30/2023,11/3/2023,English
541,33,3/8/2023,11/4/2023,Biology
542,15,3/3/2023,11/1/2023,Spanish
543,18,9/4/2023,11/4/2023,Math
544,48,1/7/2023,11/1/2023,Biology
545,43,11/5/2023,11/5/2023,Biology
546,17,9/15/2023,11/1/2023,English
547,12,2/1/2023,11/2/2023,Chemistry
548,28,8/15/2023,11/5/2023,Chemistry
549,24,5/25/2023,11/2/2023,English
550,30,7/5/2023,11/1/2023,Spanish
551,10,6/12/2023,11/3/2023,Biology
552,24,8/9/2023,11/4/2023,Math
553,21,2/26/2023,11/3/2023,Biology
554,44,1/21/2023,11/5/2023,English
555,19,10/3/2023,11/5/2023,Chemistry
556,10,6/4/2023,11/5/2023,Spanish
557,21,6/2/2023,11/2/2023,Biology
558,22,7/9/2023,11/1/2023,Chemistry
559,30,5/22/2023,11/5/2023,English
560,35,8/26/2023,11/2/2023,English
561,12,5/11/2023,11/5/2023,Chemistry
562,35,3/22/2023,11/3/2023,Spanish
563,15,4/19/2023,11/2/2023,Math
564,35,3/30/2023,11/4/2023,Math
565,41,9/29/2023,11/3/2023,Spanish
566,44,2/19/2023,11/1/2023,Biology
567,31,3/24/2023,11/2/2023,Biology
568,31,2/20/2023,11/3/2023,Biology
569,49,7/15/2023,11/1/2023,Chemistry
570,36,8/11/2023,11/3/2023,Spanish
571,27,3/13/2023,11/2/2023,English
572,25,5/2/2023,11/1/2023,Math
573,49,9/24/2023,11/3/2023,Spanish
574,34,3/21/2023,11/2/2023,Chemistry
575,31,10/14/2023,11/4/2023,Chemistry
576,34,8/14/2023,11/1/2023,English
577,36,1/30/2023,11/1/2023,Biology
578,12,3/17/2023,11/1/2023,English
579,20,7/18/2023,11/3/2023,Chemistry
580,26,4/20/2023,11/1/2023,Biology
581,19,10/10/2023,11/5/2023,Math
582,45,3/8/2023,11/4/2023,Math
583,22,4/7/2023,11/2/2023,Spanish
584,45,3/14/2023,11/3/2023,English
585,15,7/24/2023,11/3/2023,English
586,18,8/26/2023,11/4/2023,Biology
587,50,4/26/2023,11/4/2023,Chemistry
588,35,2/23/2023,11/5/2023,Math
589,19,1/18/2023,11/2/2023,Biology
590,43,2/28/2023,11/2/2023,Chemistry
591,14,8/23/2023,11/4/2023,Biology
592,38,5/16/2023,11/3/2023,Math
593,13,4/29/2023,11/4/2023,Chemistry
594,13,6/8/2023,11/4/2023,Biology
595,45,5/1/2023,11/5/2023,Math
596,43,3/16/2023,11/4/2023,Biology
597,33,4/1/2023,11/3/2023,Biology
598,34,2/18/2023,11/2/2023,Biology
599,49,3/5/2023,11/3/2023,Spanish
600,37,3/14/2023,11/3/2023,Biology
601,42,6/27/2023,11/2/2023,Math
602,23,3/3/2023,11/1/2023,Spanish
603,21,5/8/2023,11/2/2023,Chemistry
604,31,8/7/2023,11/1/2023,Math
605,37,7/11/2023,11/4/2023,Biology
606,17,4/6/2023,11/2/2023,Biology
607,22,9/22/2023,11/5/2023,Math
608,34,4/25/2023,11/4/2023,Spanish
609,48,7/2/2023,11/1/2023,Math
610,43,10/28/2023,11/5/2023,Chemistry
611,16,6/5/2023,11/5/2023,Biology
612,21,10/30/2023,11/3/2023,Spanish
613,41,6/5/2023,11/5/2023,Math
614,35,6/27/2023,11/3/2023,Math
615,19,10/19/2023,11/4/2023,Spanish
616,12,10/1/2023,11/4/2023,Biology
617,30,6/19/2023,11/3/2023,English
618,40,1/17/2023,11/4/2023,Biology
619,32,3/12/2023,11/5/2023,English
620,28,1/29/2023,11/5/2023,Math
621,21,1/28/2023,11/4/2023,Biology
622,23,7/6/2023,11/4/2023,Chemistry
623,24,11/2/2023,11/2/2023,Biology
624,50,6/3/2023,11/5/2023,Chemistry
625,18,3/27/2023,11/1/2023,English
626,18,9/25/2023,11/4/2023,Spanish
627,32,2/24/2023,11/3/2023,Spanish
628,40,7/31/2023,11/1/2023,Math
629,49,5/10/2023,11/3/2023,Math
630,36,3/11/2023,11/3/2023,Spanish
631,31,6/7/2023,11/1/2023,Biology
632,19,7/11/2023,11/1/2023,Biology
633,34,8/24/2023,11/4/2023,Spanish
634,10,8/10/2023,11/5/2023,Biology
